[09:10:43] device NVIDIA GeForce RTX 2060 SUPER cc (7, 5) SMs 34 L2 4 MiB shared/SM 64 KiB opt-in 64 KiB icache 64 KiB
[09:10:43] backend mlir cubie 0.12.0 cache /home/cca79/orca/workspaces/cubie/landscape-2060/generated
[09:10:46] 50 configurations, 420 kernels to compile
[09:14:25]   compiled chain20/bogacki-shampine-32 opt:other_small=0 state=shared      3.6 s 7fec0008f8ac
[09:14:28]   compiled chain20/bogacki-shampine-32 o1+stage_accumulator=shared         2.8 s 4d2f6f91c61e
[09:14:31]   compiled chain20/bogacki-shampine-32 o1+stage_rhs=shared                 2.6 s eaacfbd73419
[09:14:35]   compiled chain20/vern7 tierA                               3.6 s a74cda6334e9
[09:14:36]   compiled chain20/vern7 plain                               3.3 s a74cda6334e9
[09:14:36]   compiled chain20/vern7 opt:other_small=1 state=local       2.4 s a74cda6334e9
[09:14:38]   compiled chain20/vern7 opt:other_small=1 state=shared      3.4 s 1a3750b724ce
[09:14:39]   compiled chain20/vern7 opt:other_small=0 state=local       3.5 s 9ebfb9fc902d
[09:14:40]   compiled chain20/vern7 opt:other_small=0 state=shared      3.5 s d83bfe4ed3e2
[09:14:42]   compiled chain20/vern7 o1+stage_accumulator=shared         4.0 s 1d2b31f02df4
[09:14:43]   compiled chain20/tsit5 tierA                               3.0 s 2cfbf116e369
[09:14:43]   compiled chain20/tsit5 opt:other_small=1 state=local       0.1 s 2cfbf116e369
[09:14:43]   compiled chain20/vern7 o1+stage_rhs=shared                 3.5 s 044982c85bc0
[09:14:45]   compiled chain20/tsit5 plain                               2.7 s 2cfbf116e369
[09:14:45]   compiled chain20/tsit5 opt:other_small=1 state=shared      2.7 s 756295b80ba0
[09:14:46]   compiled chain20/tsit5 opt:other_small=0 state=local       2.7 s 7470b0fec6a9
[09:14:48]   compiled chain20/tsit5 opt:other_small=0 state=shared      2.9 s de4302982279
[09:14:48]   compiled chain20/tsit5 o1+stage_accumulator=shared         3.0 s 4d74140971a1
[09:14:48]   compiled chain20/tsit5 o1+stage_rhs=shared                 2.7 s b89f12d4b54f
[09:14:53]   compiled chain20/rosenbrock23 tierA                               5.5 s 78fe699a9e98
[09:14:53]   compiled chain20/rosenbrock23 plain                               5.1 s 78fe699a9e98
[09:14:53]   compiled chain20/rosenbrock23 opt:other_small=1                   5.1 s 78fe699a9e98
[09:14:56]   compiled chain20/radau_iia_5_bicgstab n1k1                               71.7 s 2f976976d1e6
[09:14:59]   compiled chain20/rosenbrock23 opt:other_small=0                   5.5 s e41edd7da09c
[09:15:09]   compiled chain64/kvaerno3 tierA                              15.8 s d6e765be5fbf
[09:15:24]   compiled chain64/kvaerno3 opt:newton_exits=0 accumulator=local   14.4 s 04af7a94d884
[09:15:29]   compiled chain64/kvaerno3 opt:newton_exits=1 accumulator=local   32.2 s 4e049c4b9650
[09:15:30]   compiled chain64/kvaerno3 plain                              33.6 s 4e049c4b9650
[09:15:36]   compiled chain64/kvaerno3 opt:newton_exits=1 accumulator=shared   32.8 s 0e8df43dbdc5
[09:15:44]   compiled chain64/kvaerno3 n0o0                               14.2 s f38ec86d3c26
[09:15:45]   compiled chain64/kvaerno3 opt:newton_exits=0 accumulator=shared   15.9 s d26f892061cb
[09:15:59]   compiled chain64/kvaerno5 tierA                              23.0 s 28183479eb05
[09:15:59]   compiled chain64/kvaerno3 n1o0                               29.9 s 7fa4a6154b1a
